Gene	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541
A1BG	180	44	292	144	169	282
A1CF	0	0	7	8	5	6
A2M	5866	5233	3372	5819	5928	5602
A2ML1	205	203	92	120	54	72
A3GALT2	5	0	11	27	2	6
A4GALT	101	119	30	65	32	47
A4GNT	4	2	0	6	4	17
AAAS	1052	549	3340	3472	682	2517
AACS	1977	188	2856	3052	2800	3388
AADAC	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	562	209	1421	2688	583	2836
AAED1	109	50	29	74	93	66
AAGAB	931	129	525	1096	1565	1715
AAK1	2298	85	2766	3811	5777	4323
AAMDC	157	119	263	356	62	164
AAMP	4051	1090	4961	6129	3400	5693
AANAT	10	0	2	6	5	6
AAR2	434	142	1428	1605	399	1651
AARD	11	1	11	4	21	15
AARS	15653	2118	10325	12508	17766	13166
AARS2	831	219	1787	2372	865	1696
AARSD1	1	0	2	2	1	1
AASDH	551	234	1724	2324	597	1706
AASDHPPT	2006	216	4988	5775	3142	9539
AASS	458	234	1215	1922	337	443
AATF	1294	362	2061	3105	975	2284
AATK	11913	920	1954	1634	8560	2053
ABAT	2931	1392	3842	5516	5421	5944
ABCA1	153	204	1120	4510	271	2034
ABCA10	137	31	43	55	153	110
ABCA12	22	6	69	144	8	218
ABCA13	0	2	0	3	0	6
ABCA2	42020	2951	12261	12864	28166	13213
ABCA3	8241	1168	12685	14111	9852	17874
ABCA4	47	16	26	57	35	108
ABCA5	2036	248	1707	1739	3487	4068
ABCA6	72	28	8	32	100	67
ABCA7	1169	169	725	364	1023	396
ABCA8	1908	287	43	139	1370	364
ABCA9	404	367	146	430	653	820
ABCB1	1025	898	382	576	1258	817
ABCB10	418	85	968	1270	496	1408
ABCB11	5	1	10	36	8	5
ABCB4	8	14	135	92	36	37
ABCB5	0	0	1	4	0	1
ABCB6	2131	425	4169	3839	1714	3014
ABCB7	513	173	1851	2252	489	1616
ABCB8	1454	486	3129	2784	1354	2549
ABCB9	1138	209	1791	1967	1164	1593
ABCC1	374	18	2439	2327	705	1995
ABCC10	1379	257	4575	5056	1355	4470
ABCC11	57	13	47	22	22	38
ABCC12	336	54	22	24	616	36
ABCC2	22	0	21	87	8	35
ABCC3	73	7	5	1	72	4
ABCC4	89	47	518	750	115	513
ABCC5	2764	256	5155	6116	4555	5252
ABCC6	29	11	28	34	16	27
ABCC8	2887	445	1804	1564	3414	2101
ABCC9	381	321	449	921	366	813
ABCD1	193	72	609	633	125	449
ABCD2	231	139	515	591	545	748
ABCD3	1356	604	4322	5707	1446	5067
ABCD4	937	374	3062	4513	644	2393
ABCE1	582	74	2325	3061	907	3039
ABCF1	2358	454	4978	5599	2323	5309
ABCF2	2190	414	3300	3101	2546	3660
